"study","experiment","yi","vi"
"Costello (2015)",1,0.735209365744333,0.29846544933949
"Costello (2015)",2,0.925134051833503,0.0479673776201386
"Durgin & Russell (2008)",1,-0.124624068733917,0.179281773936149
"Hutchison & Loomis (2006)",1,-0.128328393679404,0.100015759536877
"Hutchison & Loomis (2006)",2,0.350487089360299,0.0596309254514593
"Kirsch & Kunde (2012)",1,0.609278390192778,0.31866669994879
"Kirsch & Kunde (2013a)",1,0.511022254817035,0.162314256106069
"Kirsch & Kunde (2013a)",2,0.407867633335339,0.0421658524215913
"Kirsch & Kunde (2013b)",1,0.229159881838609,0.320822155184344
"Kirsch & Kunde (2013b)",2,-0.223592129563456,0.0887643069373854
"Kirsch & Kunde (2013b)",3,0.145865089396734,0.100381893652592
"Lessard, Linkenauger & P. (2009)",1,0.172318407910456,0.0907881045604927
"Morgado & al. (2013)",1,0.0027787906054168,0.138375081842185
"Osiurak & Morgado (2012)",1,0.460865216832834,0.222338076980863
"Proffitt, S, B & Epstein (2003)",1,0.351381280766741,0.10386000770681
"White & Riley (2013)",1,0.0629557311448036,0.106499961261462
"Witt (2011)",1,-0.337125862547141,0.0603285782496008
"Witt (2011)",2,0.437330579400791,0.173655235634187
"Witt (2011)",3,0.96342856709577,0.0940991383652672
"Witt, Proffitt (2008)",1,1.14450748771987,0.241645145015343
"Witt, Schuck et al. (2011)",1,0.478969852119372,0.201161969864117
"Woods, Philbeck & Danoff (2009)",1,0.346959087603619,0.165914242020204
"Woods, Philbeck & Danoff (2009)",2,0.336200372682014,0.239333581304496
"Woods, Philbeck & Danoff (2009)",3,1.00422551197279,0.170946409658279
"Woods, Philbeck & Danoff (2009)",4,0.517917729359405,0.0199025794506705
"Kunz, C-R & T (2013)",1,0.0326215404863976,0.265521512910617
"Kunz, C-R & T (2013)",2,-0.137913175737716,0.124388773211287
"Moeller, Z & F (2015)",1,-0.103877474688373,0.0327349990621981
"Witt, Proffitt & Epstein (2010)",1,0.347000088259946,0.146293327805332
"Witt, Proffitt & Epstein (2010)",2,0.644000770528833,0.0505064390898936
"Witt, Proffitt & Epstein (2005)",1,0.348889869688624,0.0768230576177507
"Witt, Proffitt & Epstein (2005)",2,1.70191244915194,0.275580787160066
