"response","id","age","male","action","intention","contact"
4,"96;434",14,0,0,0,1
3,"96;434",14,0,0,0,1
4,"96;434",14,0,0,0,1
3,"96;434",14,0,0,1,1
3,"96;434",14,0,0,1,1
3,"96;434",14,0,0,1,1
5,"96;434",14,0,1,0,0
4,"96;434",14,0,1,0,0
4,"96;434",14,0,1,0,0
4,"96;434",14,0,1,0,0
4,"96;434",14,0,1,0,0
4,"96;434",14,0,1,0,0
4,"96;434",14,0,1,0,0
5,"96;434",14,0,0,0,0
4,"96;434",14,0,0,0,0
4,"96;434",14,0,0,0,0
4,"96;434",14,0,0,0,0
4,"96;434",14,0,0,0,0
4,"96;434",14,0,1,1,0
3,"96;434",14,0,1,1,0
3,"96;434",14,0,1,1,0
3,"96;434",14,0,1,1,0
4,"96;434",14,0,1,1,0
4,"96;434",14,0,0,1,0
5,"96;434",14,0,0,1,0
4,"96;434",14,0,0,1,0
4,"96;434",14,0,0,1,0
3,"96;434",14,0,0,1,0
4,"96;434",14,0,0,1,0
4,"96;434",14,0,1,0,0
4,"96;445",53,1,0,0,1
2,"96;445",53,1,0,0,1
4,"96;445",53,1,0,0,1
1,"96;445",53,1,0,1,1
1,"96;445",53,1,0,1,1
1,"96;445",53,1,0,1,1
7,"96;445",53,1,1,0,0
4,"96;445",53,1,1,0,0
7,"96;445",53,1,1,0,0
7,"96;445",53,1,1,0,0
1,"96;445",53,1,1,0,0
1,"96;445",53,1,1,0,0
1,"96;445",53,1,1,0,0
1,"96;445",53,1,0,0,0
7,"96;445",53,1,0,0,0
1,"96;445",53,1,0,0,0
1,"96;445",53,1,0,0,0
4,"96;445",53,1,0,0,0
1,"96;445",53,1,1,1,0
1,"96;445",53,1,1,1,0
1,"96;445",53,1,1,1,0
7,"96;445",53,1,1,1,0
2,"96;445",53,1,1,1,0
7,"96;445",53,1,0,1,0
1,"96;445",53,1,0,1,0
2,"96;445",53,1,0,1,0
7,"96;445",53,1,0,1,0
1,"96;445",53,1,0,1,0
7,"96;445",53,1,0,1,0
4,"96;445",53,1,1,0,0
1,"96;451",57,1,0,0,1
1,"96;451",57,1,0,0,1
1,"96;451",57,1,0,0,1
1,"96;451",57,1,0,1,1
1,"96;451",57,1,0,1,1
1,"96;451",57,1,0,1,1
1,"96;451",57,1,1,0,0
1,"96;451",57,1,1,0,0
1,"96;451",57,1,1,0,0
1,"96;451",57,1,1,0,0
1,"96;451",57,1,1,0,0
1,"96;451",57,1,1,0,0
1,"96;451",57,1,1,0,0
4,"96;451",57,1,0,0,0
4,"96;451",57,1,0,0,0
7,"96;451",57,1,0,0,0
4,"96;451",57,1,0,0,0
4,"96;451",57,1,0,0,0
1,"96;451",57,1,1,1,0
1,"96;451",57,1,1,1,0
1,"96;451",57,1,1,1,0
1,"96;451",57,1,1,1,0
1,"96;451",57,1,1,1,0
7,"96;451",57,1,0,1,0
7,"96;451",57,1,0,1,0
4,"96;451",57,1,0,1,0
1,"96;451",57,1,0,1,0
4,"96;451",57,1,0,1,0
4,"96;451",57,1,0,1,0
1,"96;451",57,1,1,0,0
1,"96;456",63,1,0,0,1
1,"96;456",63,1,0,0,1
1,"96;456",63,1,0,0,1
1,"96;456",63,1,0,1,1
1,"96;456",63,1,0,1,1
1,"96;456",63,1,0,1,1
1,"96;456",63,1,1,0,0
1,"96;456",63,1,1,0,0
4,"96;456",63,1,1,0,0
4,"96;456",63,1,1,0,0
7,"96;456",63,1,1,0,0
1,"96;456",63,1,1,0,0
4,"96;456",63,1,1,0,0
7,"96;456",63,1,0,0,0
7,"96;456",63,1,0,0,0
7,"96;456",63,1,0,0,0
7,"96;456",63,1,0,0,0
7,"96;456",63,1,0,0,0
1,"96;456",63,1,1,1,0
1,"96;456",63,1,1,1,0
1,"96;456",63,1,1,1,0
4,"96;456",63,1,1,1,0
1,"96;456",63,1,1,1,0
7,"96;456",63,1,0,1,0
7,"96;456",63,1,0,1,0
7,"96;456",63,1,0,1,0
4,"96;456",63,1,0,1,0
7,"96;456",63,1,0,1,0
7,"96;456",63,1,0,1,0
7,"96;456",63,1,1,0,0
4,"96;458",39,0,0,0,1
1,"96;458",39,0,0,0,1
1,"96;458",39,0,0,0,1
1,"96;458",39,0,0,1,1
1,"96;458",39,0,0,1,1
1,"96;458",39,0,0,1,1
4,"96;458",39,0,1,0,0
1,"96;458",39,0,1,0,0
1,"96;458",39,0,1,0,0
1,"96;458",39,0,1,0,0
1,"96;458",39,0,1,0,0
1,"96;458",39,0,1,0,0
1,"96;458",39,0,1,0,0
4,"96;458",39,0,0,0,0
7,"96;458",39,0,0,0,0
4,"96;458",39,0,0,0,0
4,"96;458",39,0,0,0,0
1,"96;458",39,0,0,0,0
1,"96;458",39,0,1,1,0
1,"96;458",39,0,1,1,0
1,"96;458",39,0,1,1,0
1,"96;458",39,0,1,1,0
1,"96;458",39,0,1,1,0
1,"96;458",39,0,0,1,0
4,"96;458",39,0,0,1,0
1,"96;458",39,0,0,1,0
1,"96;458",39,0,0,1,0
4,"96;458",39,0,0,1,0
1,"96;458",39,0,0,1,0
1,"96;458",39,0,1,0,0
6,"96;466",38,0,0,0,1
5,"96;466",38,0,0,0,1
6,"96;466",38,0,0,0,1
2,"96;466",38,0,0,1,1
6,"96;466",38,0,0,1,1
5,"96;466",38,0,0,1,1
6,"96;466",38,0,1,0,0
5,"96;466",38,0,1,0,0
5,"96;466",38,0,1,0,0
5,"96;466",38,0,1,0,0
4,"96;466",38,0,1,0,0
6,"96;466",38,0,1,0,0
5,"96;466",38,0,1,0,0
5,"96;466",38,0,0,0,0
6,"96;466",38,0,0,0,0
6,"96;466",38,0,0,0,0
3,"96;466",38,0,0,0,0
5,"96;466",38,0,0,0,0
5,"96;466",38,0,1,1,0
2,"96;466",38,0,1,1,0
4,"96;466",38,0,1,1,0
2,"96;466",38,0,1,1,0
4,"96;466",38,0,1,1,0
5,"96;466",38,0,0,1,0
6,"96;466",38,0,0,1,0
2,"96;466",38,0,0,1,0
5,"96;466",38,0,0,1,0
4,"96;466",38,0,0,1,0
6,"96;466",38,0,0,1,0
6,"96;466",38,0,1,0,0
7,"96;467",46,0,0,0,1
4,"96;467",46,0,0,0,1
3,"96;467",46,0,0,0,1
2,"96;467",46,0,0,1,1
4,"96;467",46,0,0,1,1
2,"96;467",46,0,0,1,1
6,"96;467",46,0,1,0,0
3,"96;467",46,0,1,0,0
4,"96;467",46,0,1,0,0
4,"96;467",46,0,1,0,0
2,"96;467",46,0,1,0,0
2,"96;467",46,0,1,0,0
4,"96;467",46,0,1,0,0
4,"96;467",46,0,0,0,0
4,"96;467",46,0,0,0,0
5,"96;467",46,0,0,0,0
4,"96;467",46,0,0,0,0
4,"96;467",46,0,0,0,0
4,"96;467",46,0,1,1,0
4,"96;467",46,0,1,1,0
3,"96;467",46,0,1,1,0
7,"96;467",46,0,1,1,0
2,"96;467",46,0,1,1,0
4,"96;467",46,0,0,1,0
4,"96;467",46,0,0,1,0
4,"96;467",46,0,0,1,0
5,"96;467",46,0,0,1,0
7,"96;467",46,0,0,1,0
4,"96;467",46,0,0,1,0
4,"96;467",46,0,1,0,0
7,"96;474",52,1,0,0,1
7,"96;474",52,1,0,0,1
7,"96;474",52,1,0,0,1
1,"96;474",52,1,0,1,1
4,"96;474",52,1,0,1,1
1,"96;474",52,1,0,1,1
7,"96;474",52,1,1,0,0
7,"96;474",52,1,1,0,0
7,"96;474",52,1,1,0,0
7,"96;474",52,1,1,0,0
7,"96;474",52,1,1,0,0
7,"96;474",52,1,1,0,0
7,"96;474",52,1,1,0,0
7,"96;474",52,1,0,0,0
7,"96;474",52,1,0,0,0
7,"96;474",52,1,0,0,0
7,"96;474",52,1,0,0,0
7,"96;474",52,1,0,0,0
7,"96;474",52,1,1,1,0
7,"96;474",52,1,1,1,0
1,"96;474",52,1,1,1,0
7,"96;474",52,1,1,1,0
7,"96;474",52,1,1,1,0
1,"96;474",52,1,0,1,0
7,"96;474",52,1,0,1,0
7,"96;474",52,1,0,1,0
7,"96;474",52,1,0,1,0
7,"96;474",52,1,0,1,0
7,"96;474",52,1,0,1,0
7,"96;474",52,1,1,0,0
5,"96;480",32,1,0,0,1
4,"96;480",32,1,0,0,1
3,"96;480",32,1,0,0,1
2,"96;480",32,1,0,1,1
3,"96;480",32,1,0,1,1
2,"96;480",32,1,0,1,1
4,"96;480",32,1,1,0,0
4,"96;480",32,1,1,0,0
