"pupil","school","popular","sex","texp","teachpop"
1,1,8,"girl",24,7
2,1,7,"boy",24,7
3,1,7,"girl",24,6
4,1,9,"girl",24,6
5,1,8,"girl",24,7
6,1,7,"boy",24,7
7,1,7,"boy",24,7
8,1,7,"boy",24,7
9,1,7,"boy",24,7
10,1,8,"boy",24,6
11,1,8,"girl",24,6
12,1,7,"girl",24,7
13,1,7,"boy",24,7
14,1,7,"girl",24,6
15,1,9,"girl",24,7
16,1,7,"girl",24,6
17,1,9,"boy",24,7
18,1,7,"boy",24,7
19,1,8,"girl",24,7
20,1,7,"boy",24,7
1,2,5,"girl",14,3
2,2,4,"boy",14,3
3,2,4,"boy",14,4
4,2,5,"girl",14,4
5,2,4,"girl",14,2
6,2,4,"boy",14,4
7,2,4,"girl",14,2
8,2,3,"boy",14,4
9,2,4,"girl",14,4
10,2,5,"girl",14,3
11,2,4,"girl",14,3
12,2,4,"boy",14,2
13,2,4,"boy",14,2
14,2,4,"boy",14,3
15,2,4,"boy",14,2
16,2,4,"girl",14,2
17,2,4,"girl",14,4
18,2,4,"girl",14,4
19,2,4,"boy",14,2
20,2,4,"boy",14,4
1,3,6,"boy",13,6
2,3,8,"girl",13,7
3,3,6,"girl",13,6
4,3,7,"girl",13,6
5,3,6,"boy",13,6
6,3,7,"girl",13,6
7,3,7,"boy",13,5
8,3,8,"girl",13,6
9,3,7,"girl",13,6
10,3,7,"girl",13,5
11,3,8,"girl",13,7
12,3,7,"girl",13,6
13,3,7,"girl",13,6
14,3,7,"girl",13,5
15,3,5,"boy",13,6
16,3,7,"boy",13,5
17,3,7,"girl",13,6
18,3,6,"boy",13,6
1,4,7,"girl",20,6
2,4,6,"girl",20,6
3,4,7,"girl",20,6
4,4,6,"girl",20,6
5,4,6,"girl",20,6
6,4,6,"boy",20,5
7,4,7,"boy",20,6
8,4,7,"boy",20,6
9,4,6,"boy",20,6
10,4,6,"girl",20,6
11,4,5,"boy",20,6
12,4,6,"boy",20,6
13,4,6,"boy",20,6
14,4,6,"boy",20,6
15,4,6,"boy",20,6
16,4,6,"girl",20,6
17,4,7,"girl",20,6
18,4,7,"boy",20,5
19,4,6,"boy",20,6
20,4,7,"boy",20,6
21,4,7,"boy",20,6
22,4,7,"girl",20,6
23,4,6,"boy",20,5
1,5,5,"boy",5,4
2,5,4,"girl",5,4
3,5,3,"boy",5,3
4,5,5,"girl",5,3
5,5,3,"boy",5,3
6,5,4,"boy",5,4
7,5,4,"boy",5,4
8,5,5,"girl",5,5
9,5,5,"girl",5,4
10,5,5,"boy",5,5
11,5,5,"girl",5,5
12,5,5,"girl",5,5
