"cafe","afternoon","wait"
1,0,5.77402278710213
1,1,1.8121827836695
1,0,4.14938349773633
1,1,4.51027392010673
1,0,3.76739347669857
1,1,3.17682932802729
2,0,1.12348951800523
2,1,0.798483079432961
2,0,1.28616954344918
2,1,1.18951649979403
2,0,3.47374659246533
2,1,1.44645375306128
3,0,5.58783378640192
3,1,2.02571150815026
3,0,4.45361027003495
3,1,1.69259325523561
3,0,5.3191157233666
3,1,2.50493727089825
4,0,3.27954435959485
4,1,2.38425670629951
4,0,2.20705248466615
4,1,3.00581183588221
4,0,2.76526486885279
4,1,2.6473429517839
5,0,0.940912612743983
5,1,0.774022467054133
5,0,-0.40135857712203
5,1,0.813706456084667
5,0,0.428587101174568
5,1,0.835742627644333
6,0,3.93027534669367
6,1,2.76430459709259
6,0,4.48140111953535
6,1,3.02228662520786
6,0,4.54790395718505
6,1,2.83457030598456
6,0,5.1078580599963
6,1,3.11100892538342
6,0,4.32354635899071
6,1,2.42703371278398
6,0,4.63278883251458
6,1,1.24761628924685
7,0,4.76999833112777
7,1,2.14392022821754
7,0,4.47015370923816
7,1,1.45769349590058
7,0,6.18170188030147
7,1,1.69457108875751
7,0,3.71869667725731
7,1,1.64616304447569
7,0,4.72051636848643
7,1,1.10559192933976
7,0,4.35150310022204
7,1,3.06873368586614
8,0,4.9365433133265
8,1,2.61492632708183
8,0,3.60001381593959
8,1,1.69112898949773
8,0,3.76404203637156
8,1,2.1720185895084
8,0,1.95121066181447
8,1,3.36662952067313
8,0,4.62239219539214
8,1,2.43980150260943
8,0,3.88875198755326
8,1,3.12512965360475
9,0,3.63540169841948
9,1,0.991446734252545
9,0,3.11075663337149
9,1,4.23725100833321
9,0,2.91136211945289
9,1,4.57947877690246
9,0,6.46440909931749
9,1,3.09674788901504
9,0,2.51354740606757
9,1,3.75603040184099
9,0,2.30927123874979
9,1,3.42081944068708
10,0,3.52004325124425
10,1,2.58517647754398
10,0,4.63847010867806
10,1,3.67205313383657
10,0,2.14972508279388
10,1,1.14395734265946
10,0,4.52686407391726
10,1,3.07729185965328
10,0,3.06758018777712
10,1,4.03030405632921
10,0,2.10120316866568
10,1,1.34579497645129
11,0,3.59142453760527
11,1,-0.353804407708666
11,0,1.00192489853044
11,1,1.5206848041752
11,0,2.97584844122093
11,1,2.08040355524509
11,0,2.53095503012045
11,1,0.551033021308992
11,0,2.8916180220412
11,1,1.9238862105358
11,0,1.44688048954117
11,1,1.59537053482533
11,0,4.42311118377582
11,1,2.58214240061962
11,0,1.93782684769256
11,1,1.20632059309639
11,0,2.34282953158114
11,1,1.39491431382349
11,0,0.827660606394689
11,1,1.23212506967582
11,0,3.18896403252709
11,1,2.37649480409864
11,0,1.72549863408843
11,1,2.43305991037982
12,0,3.54497029915582
12,1,3.73855241316861
12,0,3.82141038001765
12,1,3.69665984798922
12,0,3.71618714386365
12,1,2.68640838214932
12,0,1.53816070983559
12,1,4.74654810475123
12,0,4.25293720356399
12,1,4.12757357826497
12,0,3.64858797332306
12,1,1.84091264723663
12,0,4.11931536225023
12,1,2.38159948312965
12,0,4.13984865795103
12,1,2.01461499931989
12,0,2.71935799821437
12,1,2.64406236263829
12,0,2.92491886822121
12,1,0.747792274970602
12,0,4.12400923543747
12,1,2.83232839350087
12,0,5.73179377881641
12,1,1.4308229125057
13,0,5.21656952370522
13,1,1.59274270317692
13,0,6.48192967536911
13,1,1.50396231316242
13,0,5.05034221389197
13,1,3.16211823331549
13,0,3.03580952442921
13,1,1.91031417587581
13,0,4.11088430532643
13,1,1.80371065339588
13,0,5.04087102326705
13,1,1.0193972083392
13,0,4.96782169822543
13,1,2.55397254910938
13,0,3.78534000619987
13,1,2.63830383939733
13,0,4.11256262030409
13,1,3.52680497430758
13,0,5.11650218436844
13,1,2.26993736360782
13,0,3.6494202786624
13,1,2.91414461710161
13,0,4.18660482283494
13,1,1.89263477291979
14,0,4.49611650472542
14,1,1.29117324277205
14,0,3.78284630220647
14,1,2.47708669650035
14,0,4.11813119946813
14,1,3.00287576855498
14,0,3.13940633219077
14,1,2.80668180726099
14,0,4.72548109064711
14,1,2.69543948279806
14,0,4.0346943485725
14,1,1.59404974412524
14,0,4.33066319175801
14,1,1.63851680329519
14,0,3.36430410823956
14,1,3.48508809776106
14,0,3.99408193687822
14,1,2.66974649973806
14,0,3.71778091442673
14,1,2.03300584282089
14,0,5.53214502489467
14,1,1.69551829895911
14,0,1.928713586022
14,1,1.94473309626032
15,0,2.58540954276709
15,1,2.02659647387409
15,0,3.49798403802351
15,1,-0.995870966946395
15,0,4.00010299030478
15,1,3.47987614196121
15,0,3.82404541338281
15,1,1.87573287034937
15,0,3.85163513382818
15,1,4.39980960383127
15,0,5.77762703682182
15,1,1.75616214340728
15,0,4.07651328326016
15,1,3.67186618557147
15,0,4.68647353667693
15,1,2.38468976686267
15,0,4.32200082801024
15,1,3.97312696399554
15,0,2.90393875223683
15,1,1.8185750709411
15,0,4.84262695833163
15,1,2.3206860918221
15,0,3.2232700512156
15,1,2.9112069345428
16,0,3.26292584505226
16,1,1.90353486138731
16,0,3.68528885732527
16,1,1.77697535326225
16,0,1.67739565478054
16,1,0.628146033901219
16,0,2.93489254141634
16,1,1.31829539129278
16,0,4.29945745623969
16,1,2.14011722625123
16,0,2.06547531902023
16,1,2.26421922369686
16,0,4.50348212320469
16,1,1.57372413882904
16,0,3.59593775159612
16,1,4.3678637314552
16,0,4.31615611315141
