"","trial","value"
"1",1,1
"2",2,1
"3",3,0
"4",4,1
"5",5,0
"6",6,0
"7",7,1
"8",8,1
"9",9,1
"10",10,0
"11",11,0
"12",12,1
"13",13,0
"14",14,0
"15",15,0
"16",16,1
"17",17,0
"18",18,1
"19",19,0
"20",20,0
"21",21,1
"22",22,1
"23",23,1
"24",24,0
"25",25,1
"26",26,1
"27",27,0
"28",28,0
"29",29,1
"30",30,0
"31",31,1
"32",32,0
"33",33,1
"34",34,1
"35",35,0
"36",36,1
"37",37,1
"38",38,0
"39",39,0
"40",40,0
"41",41,1
"42",42,0
"43",43,1
"44",44,0
"45",45,0
"46",46,0
"47",47,1
"48",48,0
"49",49,1
"50",50,0
"51",51,0
"52",52,0
"53",53,1
"54",54,0
"55",55,1
"56",56,1
"57",57,0
"58",58,1
"59",59,0
"60",60,0
"61",61,1
"62",62,1
"63",63,0
"64",64,1
"65",65,1
"66",66,1
"67",67,1
"68",68,0
"69",69,1
"70",70,1
"71",71,0
"72",72,0
"73",73,0
"74",74,0
"75",75,1
"76",76,1
"77",77,1
"78",78,0
"79",79,0
"80",80,1
"81",81,1
"82",82,1
"83",83,1
"84",84,1
"85",85,0
"86",86,1
"87",87,0
"88",88,1
"89",89,0
"90",90,1
"91",91,0
"92",92,0
"93",93,1
"94",94,1
"95",95,0
"96",96,0
"97",97,0
"98",98,0
"99",99,1
"100",100,0
"101",101,0
"102",102,1
"103",103,0
"104",104,0
"105",105,1
"106",106,0
"107",107,1
"108",108,0
"109",109,1
"110",110,0
"111",111,1
"112",112,1
"113",113,0
"114",114,1
"115",115,1
"116",116,0
"117",117,1
"118",118,1
"119",119,1
"120",120,0
"121",121,0
"122",122,1
"123",123,0
"124",124,1
"125",125,1
"126",126,1
"127",127,1
"128",128,1
"129",129,0
"130",130,0
"131",131,1
"132",132,0
"133",133,1
"134",134,1
"135",135,1
"136",136,0
"137",137,0
"138",138,1
"139",139,1
"140",140,1
"141",141,1
"142",142,0
"143",143,0
"144",144,0
"145",145,1
"146",146,1
"147",147,1
"148",148,0
"149",149,0
"150",150,1
"151",151,1
"152",152,0
"153",153,1
"154",154,1
"155",155,0
"156",156,0
"157",157,1
"158",158,1
"159",159,1
"160",160,0
"161",161,1
"162",162,1
"163",163,0
"164",164,1
"165",165,0
"166",166,0
"167",167,1
"168",168,1
"169",169,0
"170",170,1
"171",171,1
"172",172,1
"173",173,1
"174",174,0
"175",175,1
"176",176,0
"177",177,1
"178",178,0
"179",179,0
"180",180,1
"181",181,0
"182",182,0
"183",183,0
"184",184,1
"185",185,1
"186",186,0
"187",187,1
"188",188,1
"189",189,1
"190",190,0
"191",191,0
"192",192,0
"193",193,0
"194",194,1
"195",195,1
"196",196,1
"197",197,1
"198",198,0
"199",199,0
"200",200,0
"201",201,0
"202",202,0
"203",203,1
"204",204,0
"205",205,0
"206",206,0
"207",207,0
"208",208,0
"209",209,0
"210",210,1
"211",211,0
"212",212,0
"213",213,1
"214",214,0
"215",215,1
"216",216,1
"217",217,0
"218",218,1
"219",219,0
"220",220,1
"221",221,1
"222",222,1
"223",223,1
"224",224,0
"225",225,0
"226",226,0
"227",227,0
"228",228,1
"229",229,0
"230",230,0
"231",231,0
"232",232,1
"233",233,0
"234",234,0
"235",235,1
"236",236,1
"237",237,1
"238",238,0
"239",239,1
"240",240,1
"241",241,0
"242",242,1
"243",243,1
"244",244,1
"245",245,1
"246",246,1
"247",247,0
"248",248,0
"249",249,1
"250",250,0
"251",251,1
"252",252,0
"253",253,0
"254",254,1
"255",255,1
"256",256,1
"257",257,1
"258",258,1
"259",259,1
"260",260,1
"261",261,1
"262",262,1
"263",263,0
"264",264,0
"265",265,0
"266",266,1
"267",267,1
"268",268,1
"269",269,0
"270",270,0
"271",271,0
"272",272,1
"273",273,0
"274",274,1
"275",275,0
"276",276,0
"277",277,0
"278",278,0
"279",279,0
"280",280,1
"281",281,0
"282",282,1
"283",283,0
"284",284,1
"285",285,0
"286",286,0
"287",287,0
"288",288,1
"289",289,1
"290",290,1
"291",291,1
"292",292,1
"293",293,1
"294",294,1
"295",295,1
"296",296,0
"297",297,1
"298",298,1
"299",299,1
"300",300,0
"301",301,1
"302",302,0
"303",303,1
"304",304,0
"305",305,1
"306",306,1
"307",307,1
"308",308,0
"309",309,0
"310",310,0
"311",311,1
"312",312,1
"313",313,0
"314",314,1
"315",315,0
"316",316,1
"317",317,1
"318",318,1
"319",319,1
"320",320,1
"321",321,0
"322",322,1
"323",323,0
"324",324,1
"325",325,0
"326",326,1
"327",327,0
"328",328,1
"329",329,1
"330",330,1
"331",331,0
"332",332,0
"333",333,1
"334",334,0
"335",335,1
"336",336,0
"337",337,0
"338",338,1
"339",339,1
"340",340,1
"341",341,1
"342",342,1
"343",343,1
"344",344,1
"345",345,0
"346",346,1
