"survival","pclass","gender","age","parch"
0,"upper","male",22,0
1,"lower","female",38,0
1,"upper","female",26,0
1,"lower","female",35,0
0,"upper","male",35,0
0,"lower","male",54,0
0,"upper","male",2,1
1,"upper","female",27,2
1,"upper","female",4,1
1,"lower","female",58,0
0,"upper","male",20,0
0,"upper","male",39,5
0,"upper","female",14,0
0,"upper","male",2,1
0,"upper","female",31,0
1,"upper","female",15,0
1,"lower","male",28,0
0,"upper","female",8,1
1,"upper","female",38,5
0,"lower","male",19,2
0,"lower","male",40,0
0,"lower","male",28,0
0,"lower","male",42,0
0,"upper","male",21,0
0,"upper","female",18,0
1,"upper","female",14,0
0,"upper","female",40,0
1,"upper","female",19,0
0,"upper","female",18,0
0,"upper","male",7,1
0,"upper","male",21,0
1,"lower","female",49,0
0,"lower","male",65,1
0,"upper","male",28.5,0
0,"upper","male",11,2
0,"upper","male",22,0
0,"lower","male",45,0
0,"upper","male",4,2
0,"upper","male",19,0
1,"upper","female",17,2
0,"upper","male",26,0
0,"upper","female",16,2
0,"upper","male",26,0
1,"upper","male",32,0
0,"upper","male",25,0
1,"upper","female",30,0
0,"upper","male",22,0
1,"upper","male",29,0
0,"lower","male",28,0
1,"upper","female",33,0
0,"upper","male",16,3
1,"lower","female",23,2
0,"upper","male",24,0
0,"upper","male",29,0
0,"upper","male",20,0
0,"lower","male",46,0
0,"upper","male",26,2
0,"upper","male",59,0
0,"lower","male",71,0
1,"lower","male",23,1
0,"upper","female",28,0
0,"lower","male",21,1
0,"upper","male",33,0
0,"upper","male",37,0
0,"upper","male",28,0
1,"upper","female",21,0
0,"upper","male",38,0
0,"lower","male",47,0
0,"upper","female",14.5,0
0,"upper","male",22,0
0,"upper","female",20,0
0,"upper","female",17,0
0,"upper","male",21,0
0,"upper","male",70.5,0
0,"lower","male",24,1
0,"upper","female",2,2
0,"lower","male",54,1
1,"upper","male",12,0
1,"upper","male",24,0
0,"upper","male",45,0
0,"upper","male",33,0
0,"upper","male",20,0
0,"upper","female",47,0
1,"lower","female",19,2
0,"lower","male",37,0
0,"upper","male",16,0
0,"lower","male",24,0
1,"upper","female",22,0
1,"upper","female",24,0
0,"upper","male",19,0
1,"upper","male",27,0
0,"upper","female",9,2
1,"lower","female",22,0
0,"upper","male",55.5,0
0,"upper","male",40.5,2
0,"lower","male",51,1
1,"upper","female",16,0
0,"upper","male",30,0
0,"upper","male",44,1
0,"upper","male",26,0
0,"upper","male",17,0
0,"upper","male",1,1
1,"upper","male",9,2
0,"upper","female",45,4
0,"upper","male",28,0
0,"lower","male",61,0
0,"upper","male",4,1
1,"upper","female",1,1
0,"upper","male",21,0
0,"lower","male",56,0
0,"upper","male",18,1
0,"lower","female",50,0
0,"upper","male",36,0
0,"upper","male",9,2
1,"upper","female",4,2
1,"lower","male",45,0
0,"upper","male",40,1
0,"upper","male",36,0
1,"upper","female",19,0
1,"lower","female",44,0
1,"lower","female",58,0
0,"upper","male",42,1
0,"upper","male",28,0
0,"upper","male",34,0
0,"upper","male",45.5,0
1,"upper","male",18,0
0,"upper","female",2,1
0,"upper","male",32,0
1,"upper","male",26,0
1,"upper","female",16,0
1,"lower","male",40,0
0,"upper","male",24,0
0,"upper","male",22,0
1,"lower","female",31,0
1,"upper","female",27,0
1,"lower","female",32,0
1,"upper","male",16,0
0,"upper","male",51,0
1,"lower","male",38,0
0,"upper","male",22,0
0,"upper","male",20.5,0
1,"lower","female",35,0
0,"upper","male",29,0
1,"upper","female",5,2
0,"upper","male",22,0
0,"upper","male",30,0
0,"lower","male",44,0
0,"upper","female",25,0
1,"lower","male",37,1
0,"upper","female",29,1
0,"lower","male",62,0
0,"upper","male",30,0
0,"upper","female",41,2
1,"upper","female",29,2
1,"lower","female",30,0
1,"lower","female",35,0
1,"upper","male",3,2
0,"lower","male",52,1
0,"lower","male",40,0
0,"upper","male",16,1
1,"upper","male",25,0
1,"lower","female",58,1
1,"lower","female",35,0
1,"upper","male",25,0
0,"lower","male",37,1
1,"lower","female",63,0
0,"upper","female",45,0
0,"upper","male",7,1
1,"upper","female",35,1
0,"upper","male",65,0
0,"upper","male",28,0
0,"upper","male",16,0
1,"upper","male",19,0
0,"upper","male",33,0
1,"upper","male",30,0
0,"upper","male",22,0
1,"upper","female",22,0
1,"lower","female",26,0
1,"lower","female",19,0
0,"upper","female",24,0
0,"upper","male",24,0
0,"upper","male",23.5,0
0,"lower","female",2,2
1,"lower","female",50,1
0,"upper","male",19,0
1,"lower","male",0.92,2
1,"lower","female",17,0
1,"lower","female",30,0
1,"lower","female",24,0
1,"lower","female",18,2
0,"upper","male",28,0
1,"upper","female",26,0
1,"lower","female",31,2
1,"lower","female",40,1
0,"upper","male",22,0
0,"upper","male",27,0
1,"lower","female",36,0
0,"upper","male",61,0
1,"upper","female",31,1
1,"lower","female",16,1
0,"lower","male",45.5,0
0,"lower","male",38,1
0,"upper","male",16,0
0,"lower","male",29,0
1,"lower","female",41,0
1,"upper","male",45,0
0,"lower","male",45,0
1,"lower","female",24,2
1,"upper","male",3,1
0,"upper","male",42,0
0,"upper","male",23,0
0,"upper","male",15,1
0,"upper","male",25,0
0,"upper","male",28,0
1,"lower","female",22,1
0,"upper","male",40,4
0,"upper","female",45,1
0,"upper","male",35,0
0,"upper","male",30,0
1,"lower","female",60,0
1,"lower","female",24,0
1,"lower","male",25,0
0,"upper","male",18,0
